timestamp,city,temperature,feels_like,humidity,condition,wind
2026-05-01T22:41:44.746023,Manila,31,36,63,Clear,23
2026-05-01T22:41:56.676115,Manila,31,36,63,Clear,23
2026-05-01T22:42:07.639800,Manila,31,36,63,Clear,23
